source,dest,month_code,qty,Unnamed: 4,Unnamed: 5,month
NDC_Changshu,RDC_Jinan,Period_012,244892,,,12
NDC_Changshu,RDC_Jinan,Period_011,216810,,,11
NDC_Changshu,RDC_Nanchang,Period_012,198433,,,12
NDC_Changshu,RDC_Beijing,Period_012,187366,,,12
NDC_Changshu,RDC_Nanchang,Period_011,176558,,,11
NDC_Changshu,RDC_Changsha,Period_012,166780,,,12
NDC_Changshu,RDC_Jinan,Period_010,165781,,备注：到达月份中Period_001：代表1月份，以此类推,10
NDC_Changshu,RDC_Haerbin,Period_009,164943,,,9
NDC_Changshu,RDC_Beijing,Period_011,161642,,,11
NDC_Changshu,RDC_Mianyang,Period_012,159434,,,12
NDC_Changshu,RDC_Zhuzhou,Period_012,156341,,,12
NDC_Changshu,RDC_Zhengzhou,Period_012,137634,,,12
NDC_Changshu,RDC_Shanghai2,Period_012,137215,,,12
NDC_Changshu,RDC_Zhengzhou,Period_011,135103,,,11
NDC_Changshu,RDC_Weifang,Period_012,132466,,,12
NDC_Changshu,RDC_Haerbin,Period_010,132175,,,10
NDC_Changshu,RDC_Hangzhou,Period_012,128018,,,12
NDC_Changshu,RDC_Changsha,Period_010,115444,,,10
NDC_Changshu,RDC_Beijing,Period_009,115121,,,9
NDC_Changshu,RDC_Ningbo,Period_012,113809,,,12
NDC_Changshu,RDC_Mianyang,Period_011,112531,,,11
NDC_Changshu,RDC_Changsha,Period_011,110541,,,11
NDC_Changshu,RDC_Chengdu,Period_012,106498,,,12
NDC_Changshu,RDC_Beijing,Period_010,105904,,,10
NDC_Changshu,RDC_Nanchang,Period_009,105646,,,9
NDC_Changshu,RDC_Hangzhou,Period_011,100115,,,11
NDC_Changshu,RDC_Jinan,Period_007,96702,,,7
NDC_Changshu,RDC_Wuhan,Period_012,96498,,,12
NDC_Changshu,RDC_Nanchang,Period_010,96335,,,10
NDC_Changshu,RDC_Tianjin,Period_011,95610,,,11
NDC_Changshu,RDC_Tianjin,Period_012,94788,,,12
NDC_Changshu,RDC_Wulumuqi,Period_011,94184,,,11
NDC_Changshu,RDC_Beijing,Period_006,94116,,,6
NDC_Changshu,RDC_Haerbin,Period_011,93514,,,11
NDC_Changshu,RDC_Zhuzhou,Period_011,93176,,,11
NDC_Changshu,RDC_Haerbin,Period_008,91656,,,8
NDC_Changshu,RDC_Wulumuqi,Period_012,91648,,,12
NDC_Changshu,RDC_Xian1,Period_011,89141,,,11
NDC_Changshu,RDC_Puyang,Period_009,88992,,,9
NDC_Changshu,RDC_Changsha,Period_009,88930,,,9
NDC_Changshu,RDC_Jinan,Period_009,88253,,,9
NDC_Changshu,RDC_Shangqiu,Period_012,87610,,,12
NDC_Changshu,RDC_Lanzhou,Period_011,84897,,,11
NDC_Changshu,RDC_Changchun,Period_011,83988,,,11
NDC_Changshu,RDC_Chengdu,Period_011,82126,,,11
NDC_Changshu,RDC_Xian1,Period_012,81353,,,12
NDC_Changshu,RDC_Nanjing,Period_012,80875,,,12
NDC_Changshu,RDC_Lanzhou,Period_012,80316,,,12
NDC_Changshu,RDC_Lianyungang,Period_012,78754,,,12
NDC_Changshu,RDC_Haerbin,Period_012,78114,,,12
NDC_Changshu,RDC_Suzhou,Period_012,77644,,,12
NDC_Changshu,RDC_Hefei2,Period_012,77223,,,12
NDC_Changshu,RDC_Maanshan,Period_012,77215,,,12
NDC_Changshu,RDC_Zhengzhou,Period_009,76249,,,9
NDC_Changshu,RDC_Liaoning,Period_011,76129,,,11
NDC_Changshu,RDC_Weifang,Period_011,75262,,,11
NDC_Changshu,RDC_Jinan,Period_008,74819,,,8
NDC_Changshu,RDC_Beijing,Period_008,74282,,,8
NDC_Changshu,RDC_Puyang,Period_012,73094,,,12
NDC_Changshu,RDC_Wulumuqi,Period_010,72654,,,10
NDC_Changshu,RDC_Tangshan,Period_012,71264,,,12
NDC_Changshu,RDC_Wulumuqi,Period_009,71009,,,9
NDC_Changshu,RDC_Lanzhou,Period_009,70430,,,9
NDC_Changshu,RDC_Haerbin,Period_007,68875,,,7
NDC_Changshu,RDC_Huaian,Period_012,68222,,,12
NDC_Changshu,RDC_Chengdu,Period_010,68176,,,10
NDC_Changshu,RDC_Liaoning,Period_012,67682,,,12
NDC_Changshu,RDC_Lanzhou,Period_010,66238,,,10
NDC_Changshu,RDC_Suzhou,Period_011,66066,,,11
NDC_Changshu,RDC_Mianyang,Period_010,66001,,,10
NDC_Changshu,RDC_Taiyuan1,Period_011,65782,,,11
NDC_Changshu,RDC_Hangzhou,Period_009,65448,,,9
NDC_Changshu,RDC_Zhuzhou,Period_010,64332,,,10
NDC_Changshu,RDC_Beijing,Period_007,63915,,,7
NDC_Changshu,RDC_Tangshan,Period_011,63772,,,11
NDC_Changshu,RDC_Tianjin,Period_010,63349,,,10
NDC_Changshu,RDC_Baoding,Period_012,63002,,,12
NDC_Changshu,RDC_Xiangfan,Period_012,62036,,,12
NDC_Changshu,RDC_Yangzhou,Period_012,61951,,,12
NDC_Changshu,RDC_Taiyuan1,Period_012,61489,,,12
NDC_Changshu,RDC_Shijiazhuang,Period_011,61306,,,11
NDC_Changshu,RDC_Dalian,Period_011,61292,,,11
NDC_Changshu,RDC_Handan,Period_012,61144,,,12
NDC_Changshu,RDC_Shijiazhuang,Period_012,61088,,,12
NDC_Changshu,RDC_Wuxi,Period_011,61055,,,11
NDC_Changshu,RDC_Mianyang,Period_009,60764,,,9
NDC_Changshu,RDC_Taiyuan2,Period_011,60724,,,11
NDC_Changshu,RDC_Chengdu,Period_009,60585,,,9
NDC_Changshu,RDC_Lanzhou,Period_007,60422,,,7
NDC_Changshu,RDC_Hangzhou,Period_010,60116,,,10
NDC_Changshu,RDC_Shanghai1,Period_012,60056,,,12
NDC_Changshu,RDC_Huaian,Period_011,59731,,,11
NDC_Changshu,RDC_Changchun,Period_009,59127,,,9
NDC_Changshu,RDC_Wuhan,Period_011,59057,,,11
NDC_Changshu,RDC_Shanghai2,Period_011,58623,,,11
NDC_Changshu,RDC_Nanjing,Period_011,58573,,,11
NDC_Changshu,RDC_Jinan,Period_006,57789,,,6
NDC_Changshu,RDC_Handan,Period_011,57011,,,11
NDC_Changshu,RDC_Ningbo,Period_011,56992,,,11
NDC_Changshu,RDC_Hefei1,Period_012,56968,,,12
NDC_Changshu,RDC_Liaoning,Period_009,55701,,,9
NDC_Changshu,RDC_Changsha,Period_006,55300,,,6
NDC_Changshu,RDC_Hefei1,Period_011,55287,,,11
NDC_Changshu,RDC_Lanzhou,Period_008,55230,,,8
