warehouse_name,address,city,province,type,lat,lng
NDC_Changshu,江苏省常熟市波司登工业园区,常熟市,江苏省,总仓,31.60132,120.9125
RDC_Baoding,河北省保定市长城南大街1213号,保定,河北省,区域仓,38.84227,115.5125
RDC_Beijing,北京市丰台区小红门路分钟寺东四道口 闽鑫商务酒店对面,北京,北京,区域仓,39.85929,116.4707
RDC_Changchun,吉林省长春市绿园区青年路3017号,长春,吉林省,区域仓,43.93276,125.299
RDC_Changsha,湖南省长沙市芙蓉区东二环线二段117号,长沙,湖南省,区域仓,28.21001,113.0253
RDC_Chengdu,四川省成都市龙潭寺工业园区成致路39号,成都,四川省,区域仓,30.68944,104.1816
RDC_Chongqing,重庆市渝北区回兴街道锦衣支路10号,重庆,重庆,区域仓,29.67056,106.6263
RDC_Dalian,辽宁省大连市甘井子区迎金路20号,大连,辽宁省,区域仓,39.04403,121.6366
RDC_Guiyang,贵州省贵阳市云岩区大营坡汪家湾金丰路52号,贵阳,贵州省,区域仓,26.60968,106.7355
RDC_Haerbin,黑龙江省哈尔滨市南岗区西大直街331号,哈尔滨,黑龙江,区域仓,45.74223,126.6237
RDC_Handan,河北省邯郸市邯郸县汽车东站往东1500米新兴国际物流中心B3座,邯郸,河北省,区域仓,36.62035,114.4945
RDC_Hangzhou,浙江省杭州市康桥镇康园路19号,杭州,浙江省,区域仓,30.37639,120.1698
RDC_Hefei1,安徽省合肥市汴河路88号新站私营加工区,合肥,安徽省,区域仓,31.89018,117.3539
RDC_Hefei2,安徽省合肥市瑶海区新海大道与文忠路,合肥,安徽省,区域仓,31.89946,117.3595
RDC_Huaian,江苏省淮安市淮阴工业园区南昌路8号,淮安,江苏省,区域仓,33.58913,119.0793
RDC_Huhehaote,内蒙古省呼和浩特市新城区鸿盛生活园区对面,呼和浩特市,内蒙古自治区,区域仓,40.88605,111.8036
RDC_Jiaozuo,河南省焦作市解放西路与长安路交叉口,焦作,河南省,区域仓,35.24317,113.1965
RDC_Jinan,山东省济南市槐荫区济兖路464号,济南,山东省,区域仓,36.64308,116.857
RDC_Jingmen,湖北省荆门市东宝区月亮湖路众诚物流园,荆门,湖北省,区域仓,31.07754,112.2224
RDC_Jinzhou,辽宁省锦州市松山新区渤海大道168号,锦州,辽宁省,区域仓,41.09658,121.1489
RDC_Kunming,云南省昆明市官渡区王家庄10号,昆明,云南省,区域仓,24.90263,102.9867
RDC_Lanzhou,甘肃省兰州市拱星墩街道东岗东路641-649号,兰州,甘肃省,区域仓,36.04397,103.91
RDC_Lianyungang,江苏省连云港市海州区经一南路6-7号,连云港,江苏省,区域仓,34.57746,119.1694
RDC_Liaoning,辽宁省沈阳市沈河区东贸路38号,沈阳,辽宁省,区域仓,41.82855,123.5238
